Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Sorrento,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,Italian,4.5,113,4000
Handi Chhadeyan Di,"Connaught Place, Central Delhi", Central Delhi,Delhi,North Indian,4.3,46,800
The Chai Story,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Fast Food,  Tea",4.1,169,400
Fifty9,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Continental,  Oriental ",3.7,193,2800
Shang Palace,"Shangri La's Eros Hotel,Janpath, Central Delhi", Central Delhi,Delhi,"Chinese,  Asian",4.6,152,4000
Veda,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Seafood,  Mughlai",4.1,318,2700
Baluchi,"The Lalit New Delhi,Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Mughlai",4.4,310,4000
The Connaught Bar,"Radisson Blu Marina,Connaught Place, Central Delhi", Central Delhi,Delhi,Finger Food,3.7,23,2200
Kapurthala Kitchen,"Connaught Place, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Continental",2.9,20,1200
Bistro 55,"Paharganj, Central Delhi", Central Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",5,2,500
Giani,"Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",3,2,400
Mamagoto,"Khan Market, Central Delhi", Central Delhi,Delhi,"Asian,  Chinese,  Thai,  Japanese",4.5,576,1500
Cinnabon,"Shivaji Stadium Metro Station,Connaught Place, Central Delhi", Central Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Coffee",3.8,19,500
Fat Lulu's,"Khan Market, Central Delhi", Central Delhi,Delhi,"Italian,  Pizza,  Fast Food",4.5,25,1500
Pikkle,"Rajinder Nagar, West Delhi", West Delhi,Delhi,"Asian,  North Indian,  Chinese,  Thai,  Japanese,  Sushi",4.2,499,1800
Pindi,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.4,415,2500
Cafe Delhi Heights,"Khan Market, Central Delhi", Central Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.4,123,2000
TOS - Take Off Scarlet,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",3.9,3055,1200
Veg Gulati,"Pandara Road, Central Delhi", Central Delhi,Delhi,"North Indian,  Biryani,  Indian Cuisine",4.4,90,1200
Judge & Jury,"Vijay Nagar, North Delhi", North Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  American",4.1,1076,1400
The DineRoom,"Punjabi Bagh, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.2,443,1000
Qbic Cafe,"East Patel Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.3,447,1200
1 Oak Cafe & Bar,"Defence Colony, South Delhi", South Delhi,Delhi,"Finger Food,  Italian,  Continental,  Asian",4.2,2118,1600
Zaika Foods,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4,51,500
The Chatter House,"Khan Market, Central Delhi", Central Delhi,Delhi,"North Indian,  Italian,  Continental",4.2,615,2600
Dilli Gate,"Daryaganj, Central Delhi", Central Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.5,2,600
Imly,"Apsara Arcade Mall,Karol Bagh, Central Delhi", Central Delhi,Delhi,"Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",3.8,401,800
Ichiban,"Pandara Road, Central Delhi", Central Delhi,Delhi,"Chinese,  Thai,  Japanese",4.5,190,800
Talli Station,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",4.1,82,1500
Sly Granny,"Khan Market, Central Delhi", Central Delhi,Delhi,"European,  American",4.5,146,2500
Naivedyam,"East Patel Nagar, West Delhi", West Delhi,Delhi,South Indian,4.3,453,500
Lanterns Kitchen & Bar,"Rajendra Bhawan,Rajendra Place, West Delhi", West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese",4.2,614,1600
Gola Sizzlers,"Khan Market, Central Delhi", Central Delhi,Delhi,"Sizzlers,  North Indian,  Chinese",4,37,1200
Out Of The Box,"Khan Market, Central Delhi", Central Delhi,Delhi,"World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Oriental ,  Tex Mex",4.1,634,2000
